Name,Price
AGRITECH,Final
CHAVDA,168.00
AGROPHOS,96.70
NEWJAISA,39.00
JETFREIGHT,85.70
ASHIMASYN,13.05
JETAIRWAYS,19.35
PCJEWELLER,47.45
NKIND,61.35
SUMEETINDS,59.60
BROOKS,3.20
BALKRISHNA,96.35
HCL-INSYS,39.65
YAARI,15.30
SGIL,7.75
UNITEDPOLY,313.95
GILLANDERS,102.00
FMNL,80.75
CYBERMEDIA,5.80
LASA,25.85
PAVNAIND,24.25
ARCHIDPLY,549.40
SWANENERGY,79.15
JMA,492.00
INDIANHUME,107.10
SGL,244.85
DEVIT,14.40
SEYAIND,99.95
BINANIIND,21.90
SEMAC,14.60
RAJESHEXPO,"2,800.00"
OAL,296.90
SINTERCOM,325.85
COMSYN,130.80
ARTNIRMAN,69.60
MACPOWER,66.00
HINDCOPPER,900.00
APCOTEXIND,242.50
INFOMEDIA,418.85
JPOLYINVST,6.60
ENIL,659.25
JHS,276.65
PNC,-
CINEVISTA,51.95
VHL,17.50
VARROC,"2,863.95"
FIBERWEB,460.00
DYNAMATECH,31.95
DAMODARIND,"6,522.35"
SHRADHA,46.45
AVONMORE,58.40
UNITEDTEA,89.00
DANGEE,311.00
WEALTH,9.35
EQUIPPP,529.95
KPIL,25.30
MMP,"1,020.00"
BALPHARMA,239.95
INNOVANA,93.00
JINDWORLD,485.00
TEXMOPIPES,347.00
COMPUSOFT,73.25
AMDIND,23.35
LCCINFOTEC,54.00
KOHINOOR,2.30
AWHCL,36.95
RELINFRA,454.00
SMSPHARMA,191.00
HAVISHA,167.90
ANUP,2.35
SIL,"2,628.85"
SHREYAS,21.50
TVSHLTD,256.75
SATIN,"8,648.00"
ACEINTEG,188.45
HIMATSEIDE,31.50
KHAITANLTD,120.30
ZUARI,64.30
ZOTA,165.00
MANORAMA,468.80
VSTL,315.10
SETCO,237.05
SHREEPUSHK,7.85
KAMATHOTEL,161.85
IRMENERGY,249.80
ALBERTDAVD,453.95
SIMBHALS,"1,067.80"
HARDWYN,24.75
MAHEPC,31.85
BLISSGVS,116.85
KCP,105.25
ESTER,160.90
DAVANGERE,87.95
APEX,96.95
AVG,195.00
SUPRIYA,497.00
SUNDARAM,315.00
GULFPETRO,3.00
KEC,60.45
ELECON,700.95
JAIPURKURT,823.00
